Journée du 19/05/2007
Heures	Consommation	PrévisionJ-1		
00:00	46499	47500		
00:15	46136	46550		
00:30	45001	45600		
00:45	43639	44600		
01:00	42800	43600		
01:15	43151	43850		
01:30	42322	44100		
01:45	42645	43900		
02:00	42031	43700		
02:15	42484	43350		
02:30	41370	43000		
02:45	40560	41800		
03:00	39696	40600		
03:15	39260	40000		
03:30	38657	39400		
03:45	38162	38900		
04:00	37528	38400		
04:15	37511	38150		
04:30	37252	37900		
04:45	37037	37800		
05:00	37305	37700		
05:15	37581	37850		
05:30	37645	38000		
05:45	37538	37600		
06:00	37084	37200		
06:15	37264	37350		
06:30	37289	37500		
06:45	37633	37950		
07:00	38205	38400		
07:15	38752	39150		
07:30	39531	39900		
07:45	39986	40600		
08:00	40636	41300		
08:15	41522	42150		
08:30	42140	43000		
08:45	43214	43750		
09:00	43989	44500		
09:15	44835	45250		
09:30	45217	46000		
09:45	45643	46450		
10:00	46219	46900		
10:15	46340	47050		
10:30	46539	47200		
10:45	46670	47300		
11:00	46458	47400		
11:15	46858	47550		
11:30	46978	47700		
11:45	46983	48050		
12:00	47509	48400		
12:15	48215	48700		
12:30	48327	49000		
12:45	49634	49750		
13:00	48754	50500		
13:15	48296	49400		
13:30	47547	48300		
13:45	46990	47950		
14:00	46599	47600		
14:15	46645	47350		
14:30	46162	47100		
14:45	45483	46500		
15:00	45188	45900		
15:15	44786	45600		
15:30	44420	45300		
15:45	43824	44900		
16:00	43643	44500		
16:15	43162	44250		
16:30	42928	44000		
16:45	42676	43550		
17:00	42368	43100		
17:15	42316	43050		
17:30	42200	43000		
17:45	42419	43150		
18:00	42459	43300		
18:15	42848	43750		
18:30	42947	44200		
18:45	43506	44600		
19:00	44031	45000		
19:15	43782	44750		
19:30	43670	44500		
19:45	43512	44250		
20:00	43170	44000		
20:15	42883	43650		
20:30	42573	43300		
20:45	42688	43150		
21:00	42558	43000		
21:15	42687	42900		
21:30	42824	42800		
21:45	43532	43500		
22:00	43726	44200		
22:15	44941	45050		
22:30	45299	45900		
22:45	47345	46750		
23:00	46823	47600		
23:15	46870	47150		
23:30	45883	46700		
23:45	45973	45950		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
