Journée du 21/05/2009
Heures	Consommation	PrévisionJ-1	PrévisionJ		
00:00	47718	48400	47800		
00:15	46857	47300	46650		
00:30	45285	46200	45500		
00:45	43985	45050	44200		
01:00	42932	43900	42900		
01:15	43106	44000	43150		
01:30	42461	44100	43400		
01:45	42630	44000	43000		
02:00	42015	43900	42600		
02:15	41927	43100	41900		
02:30	41070	42300	41200		
02:45	40254	41400	40250		
03:00	39335	40500	39300		
03:15	38508	39700	38650		
03:30	37641	38900	38000		
03:45	37226	38300	37450		
04:00	36842	37700	36900		
04:15	36291	37250	36450		
04:30	35866	36800	36000		
04:45	35591	36350	35600		
05:00	35257	35900	35200		
05:15	35293	35800	35200		
05:30	35065	35700	35200		
05:45	34987	35500	34950		
06:00	34773	35300	34700		
06:15	34648	35000	34550		
06:30	34414	34700	34400		
06:45	34517	34950	34750		
07:00	35140	35200	35100		
07:15	35517	35700	35650		
07:30	36137	36200	36200		
07:45	36559	36800	36750		
08:00	37388	37400	37300		
08:15	38134	38100	38000		
08:30	38718	38800	38700		
08:45	39377	39550	39400		
09:00	40102	40300	40100		
09:15	41018	41100	40800		
09:30	41445	41900	41500		
09:45	42031	42350	42000		
10:00	42461	42800	42500		
10:15	42965	43100	42850		
10:30	43194	43400	43200		
10:45	43484	43700	43400		
11:00	43638	44000	43600		
11:15	43946	44150	43900		
11:30	44152	44300	44200		
11:45	44415	44700	44650		
12:00	45054	45100	45100		
12:15	45903	45700	45650		
12:30	46163	46300	46200		
12:45	47246	47050	46850		
13:00	46556	47800	47500		
13:15	45925	46600	46150		
13:30	44778	45400	44800		
13:45	44404	44900	44300		
14:00	43784	44400	43800		
14:15	43952	44100	43550		
14:30	43255	43800	43300		
14:45	42620	43050	42550		
15:00	42143	42300	41800		
15:15	41624	41900	41400		
15:30	41253	41500	41000		
15:45	41033	41150	40700		
16:00	40550	40800	40400		
16:15	40380	40500	40100		
16:30	39836	40200	39800		
16:45	39936	39900	39500		
17:00	39527	39600	39200		
17:15	39481	39700	39400		
17:30	39493	39800	39600		
17:45	39854	40150	40050		
18:00	39987	40500	40500		
18:15	40218	41000	41050		
18:30	40781	41500	41600		
18:45	41060	42200	42400		
19:00	41515	42900	43200		
19:15	41904	43100	43350		
19:30	41969	43300	43500		
19:45	42113	43550	43700		
20:00	42135	43800	43900		
20:15	41891	43700	43750		
20:30	41692	43600	43600		
20:45	41815	43600	43600		
21:00	41632	43600	43600		
21:15	42179	43950	43900		
21:30	41947	44300	44200		
21:45	42567	44300	44150		
22:00	42755	44300	44100		
22:15	43885	44800	44550		
22:30	44236	45300	45000		
22:45	46736	46100	45750		
23:00	45652	46900	46500		
23:15	45824	46400	46000		
23:30	44935	45900	45500		
23:45	45188	45250	45000		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
