Journée du 06/08/2010
Heures	Fioul + pointe	Charbon	Gaz	Nucléaire	Eolien	Hydraulique	Autres	Solde	Co2	Consommation	PrévisionJ-1	PrévisionJ		
00:00	0	0	783	43758	867	5006	1449	-7341	850	44512	44400	44500		
00:15	0	0	736	44229	864	5443	1437	-8822	834	43883	43250	43350		
00:30	0	0	784	43292	852	4873	1439	-9006	846	42224	42100	42200		
00:45	0	0	712	42672	840	4204	1440	-8989	821	40868	41000	41300		
01:00	0	0	716	42905	809	3157	1445	-8789	824	40231	39900	40400		
01:15	0	0	748	43908	798	2662	1440	-9047	839	40504	39900	40600		
01:30	0	0	766	43767	764	2381	1452	-9253	851	39871	39900	40800		
01:45	0	0	714	43200	718	2837	1453	-8971	832	39945	39750	40450		
02:00	0	0	769	42437	707	2778	1443	-8791	848	39339	39600	40100		
02:15	0	0	795	42805	684	2684	1451	-8868	855	39539	39100	39250		
02:30	0	0	774	41896	674	2645	1459	-9028	850	38409	38600	38400		
02:45	0	0	759	41823	678	1841	1457	-8580	844	37967	37950	37700		
03:00	0	0	780	41187	674	1821	1452	-8971	856	36937	37300	37000		
03:15	0	0	808	40934	670	1756	1449	-9042	864	36570	36650	36500		
03:30	0	0	767	40505	673	1673	1449	-8982	850	36080	36000	36000		
03:45	0	0	775	40970	660	926	1454	-8836	849	35938	35750	35800		
04:00	0	0	793	40808	649	907	1457	-9010	857	35594	35500	35600		
04:15	0	0	821	40835	628	867	1460	-9141	874	35464	35400	35500		
04:30	0	0	783	40861	640	860	1458	-9135	859	35461	35300	35400		
04:45	0	0	791	40637	635	1297	1459	-9343	856	35464	35450	35550		
05:00	0	0	806	40696	638	1208	1457	-9094	861	35700	35600	35700		
05:15	0	0	794	41263	640	1418	1463	-9419	859	36147	36000	36100		
05:30	0	0	784	41472	612	1429	1460	-9211	860	36540	36400	36500		
05:45	0	0	795	42139	614	1517	1456	-9423	863	37094	36900	37100		
06:00	0	0	800	42441	621	1798	1461	-9391	866	37725	37400	37700		
06:15	0	0	765	42259	612	3081	1466	-10037	850	38135	37750	37900		
06:30	0	0	749	42323	627	3067	1467	-10063	850	38164	38100	38100		
06:45	0	0	755	42578	624	3090	1461	-10035	850	38468	38600	38700		
07:00	0	0	841	42862	628	3075	1458	-9536	880	39322	39100	39300		
