Journée du 24/09/2011
Heures	Consommation	PrévisionJ-1	Fioul + pointe	Charbon	Gaz	Nucléaire	Eolien	Hydraulique	Autres	Solde	Co2		
00:00	47475	47600	0	1275	2975	41706	897	3341	1784	-4504	3008		
00:15	46544	46400	0	1339	2937	42160	886	3730	1720	-6230	3031		
00:30	44853	45200	0	1297	2831	41458	870	3122	1723	-6450	2954		
00:45	43257	43950	0	1265	2689	41387	862	1908	1721	-6576	2872		
01:00	42389	42700	0	1205	2597	41210	836	1377	1695	-6532	2770		
01:15	42489	42800	0	1257	2553	41765	818	1254	1673	-6833	2795		
01:30	41735	42900	0	1188	2462	41013	799	1195	1667	-6590	2694		
01:45	41706	42700	0	1196	2421	41082	770	1199	1672	-6635	2689		
02:00	41055	42500	0	1081	2374	40806	744	1189	1684	-6825	2567		
02:15	41455	41800	0	1187	2472	42028	746	1134	1676	-7789	2700		
02:30	40251	41100	0	1108	2421	41097	725	1065	1675	-7841	2605		
02:45	39357	40100	0	1082	2409	41313	714	0	1699	-7861	2576		
03:00	38290	39100	0	907	2211	40767	662	0	1621	-7878	2339		
03:15	38096	38400	0	849	1812	41582	622	19	1668	-8457	2135		
03:30	37542	37700	0	723	1774	41050	613	15	1649	-8283	1993		
03:45	36964	37250	0	628	1751	40671	602	0	1601	-8290	1897		
04:00	36525	36800	0	511	1771	40690	594	0	1592	-8634	1792		
04:15	36375	36450	0	443	1781	40819	587	0	1641	-8898	1732		
04:30	35966	36100	0	453	1742	40656	570	0	1635	-9091	1727		
04:45	36087	36000	0	443	1766	41048	564	0	1275	-9008	1726		
05:00	36095	35900	0	449	1783	41000	544	0	1243	-8924	1738		
05:15	36447	36150	0	449	1774	41482	520	0	1263	-9042	1733		
05:30	36376	36400	0	436	1793	41547	504	0	1197	-9102	1727		
05:45	36514	36700	0	394	1792	41789	494	0	1184	-9140	1687		
06:00	37034	37000	0	342	1824	41901	487	0	1167	-8689	1647		
06:15	37659	37450	0	299	1931	41572	487	0	1426	-8057	1644		
06:30	37955	37900	0	293	1951	41647	471	0	1437	-7845	1645		
06:45	38235	38650	0	292	2140	41724	455	0	1617	-7993	1714		
07:00	39011	39400	0	288	2280	42355	453	48	1651	-8065	1758		
07:15	39644	39700	0	274	2483	41894	434	825	1656	-7923	1820		
07:30	39910	40000	0	280	2552	42045	408	871	1648	-7896	1847		
07:45	39709	40400	0	291	2602	42003	410	1387	1667	-8653	1883		
08:00	40415	40800	0	282	2565	41820	407	1395	1709	-7765	1878		
08:15	41202	41600	0	288	2463	41932	396	1477	1792	-7148	1880		
08:30	41991	42400	0	278	2435	42033	395	1529	1804	-6484	1866		
08:45	42872	43100	0	293	2492	42536	395	1962	1809	-6615	1902		
09:00	43724	43800	0	301	2445	42956	386	2262	1805	-6433	1892		
09:15	44843	44400	0	302	2357	42674	382	2599	1991	-5464	1935		
09:30	45215	45000	0	299	2362	42415	356	2864	1989	-5071	1933		
09:45	45504	45400	0	293	2348	42096	337	3636	1986	-5194	1922		
10:00	45972	45800	0	306	2321	42414	300	3694	1999	-5063	1929		
10:15	46439	45850	0	296	2510	42200	289	3570	2242	-4670	2085		
10:30	46586	45900	0	296	2634	41876	279	3972	2250	-4722	2132		
10:45	46714	45950	0	300	2789	41631	270	3919	2259	-4456	2196		
11:00	46653	46000	0	295	2872	41665	272	3950	2256	-4658	2219		
11:15	46944	46150	0	295	2993	41256	274	3262	2457	-3595	2344		
11:30	47329	46300	0	308	3055	41783	260	3377	2456	-3912	2378		
11:45	47519	46600	0	306	2878	41750	258	3479	2456	-3609	2312		
12:00	47954	46900	0	301	2647	42121	257	3565	2463	-3402	2227		
12:15	48517	47300	0	292	2566	41575	264	3151	2594	-1928	2242		
12:30	48827	47700	0	294	2547	41814	249	3157	2579	-1815	2231		
12:45	50073	48400	0	296	2555	41837	251	4315	2577	-1760	2235		
13:00	49085	49100	0	289	2580	41510	253	3943	2583	-2076	2240		
13:15	48241	47900	0	293	2579	41597	252	3286	2613	-2380	2255		
13:30	47438	46700	0	296	2535	40902	255	3240	2608	-2399	2240		
13:45	46873	46200	0	292	2566	40800	253	2851	2611	-2501	2248		
14:00	46429	45700	0	289	2568	40481	260	2481	2613	-2266	2247		
14:15	46529	45500	0	295	2541	40953	269	2162	2575	-2267	2228		
14:30	46158	45300	0	292	2541	40462	268	2091	2572	-2071	2225		
14:45	45358	44850	0	309	2588	40621	278	2206	2574	-3219	2258		
15:00	44959	44400	0	296	2579	39859	272	2198	2579	-2825	2244		
15:15	44352	43950	0	294	2532	39516	276	2190	2460	-2917	2178		
15:30	44082	43500	0	290	2527	39492	275	2077	2465	-3045	2174		
15:45	43897	43100	0	291	2543	39405	279	2311	2457	-3390	2178		
16:00	43438	42700	0	286	2486	38989	282	2285	2453	-3345	2152		
16:15	42935	42400	0	303	2539	40159	278	2385	2261	-4992	2109		
16:30	42722	42100	0	310	2545	40133	269	2396	2262	-5196	2120		
16:45	42542	42000	0	340	2589	40266	269	2344	2267	-5534	2166		
17:00	42398	41900	0	360	2549	40023	263	2373	2269	-5441	2171		
17:15	41818	41800	0	378	2494	39568	269	2907	2041	-5841	2078		
17:30	41949	41700	0	387	2532	39689	273	2947	2038	-5919	2099		
17:45	42393	42000	0	432	2534	40068	272	3150	2040	-6104	2143		
18:00	42818	42300	0	454	2494	40198	269	3158	2039	-5797	2150		
18:15	42900	42600	0	457	2519	40471	266	3772	1851	-6439	2086		
18:30	43269	42900	0	459	2589	41019	260	3325	1856	-6241	2115		
18:45	43880	43550	0	465	2595	41426	259	3856	1864	-6586	2127		
19:00	44439	44200	0	477	2567	41630	260	4184	1856	-6536	2124		
19:15	44639	44600	0	471	2532	42313	268	4569	1762	-7277	2068		
19:30	44876	45000	0	459	2541	42449	262	4415	1759	-7010	2059		
19:45	45490	45850	0	458	2327	42651	268	5183	1757	-7156	1980		
20:00	46689	46700	0	485	2151	43153	268	5709	1757	-6836	1943		
20:15	47023	47050	0	469	2150	42980	276	6279	1745	-6876	1922		
20:30	46722	47400	0	470	2128	42722	296	6010	1744	-6650	1915		
20:45	46176	46950	0	449	2167	42661	298	5171	1744	-6315	1908		
21:00	45342	46500	0	449	2188	42575	291	4975	1736	-6875	1913		
21:15	44969	45850	0	456	2173	42691	292	4683	1725	-7053	1910		
21:30	44153	45200	0	456	2199	42544	291	3903	1727	-6969	1921		
21:45	43788	44400	0	409	2203	42666	297	3509	1730	-7028	1878		
22:00	43136	43600	0	369	2170	42320	300	3435	1741	-7200	1832		
22:15	43727	44250	0	313	2197	41895	299	3059	1740	-5776	1787		
22:30	44106	44900	0	291	2193	41684	299	3092	1743	-5197	1766		
22:45	46638	45700	0	288	2245	42749	293	3845	1766	-4550	1791		
23:00	46042	46500	0	302	2254	42531	310	3849	1746	-4952	1800		
23:15	46127	46000	0	305	2208	42269	314	3486	1747	-4203	1786		
23:30	45544	45500	0	289	2156	41722	316	3345	1746	-4031	1752		
23:45	45977	45050	0	284	1628	42263	313	3535	1748	-3795	1558		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
