Journée du 20/10/2011
Heures	Consommation	PrévisionJ-1	Fioul + pointe	Charbon	Gaz	Nucléaire	Eolien	Hydraulique	Autres	Solde	Co2	PrévisionJ		
00:00	55448	56500	0	2349	2867	44941	1212	3851	2031	-1805	4100	55400		
00:15	54941	55550	0	2511	2762	45532	1217	3505	2014	-2602	4211	54400		
00:30	53392	54600	0	2408	2609	45112	1216	3004	2013	-2972	4057	53400		
00:45	51833	53300	0	2405	2541	45376	1188	1283	2018	-2981	4031	52200		
01:00	50998	52000	0	2238	2426	45076	1184	995	2014	-2937	3828	51000		
01:15	51508	52250	0	2116	2410	45144	1135	513	2005	-1816	3701	51350		
01:30	50794	52500	0	2087	2420	44977	1099	529	2010	-2330	3679	51700		
01:45	50810	52400	0	2062	2410	45090	1066	520	2008	-2348	3651	51450		
02:00	50318	52300	0	2002	2363	44642	1052	504	2056	-2303	3595	51200		
02:15	50829	51700	0	2144	1891	45516	1031	585	2015	-2354	3546	50550		
02:30	49930	51100	0	2109	1863	45255	1059	596	2003	-2956	3497	49900		
02:45	49157	50200	0	2082	1776	44890	1085	449	2012	-3139	3443	49200		
03:00	48539	49300	0	1988	1730	44135	1073	558	2009	-2956	3335	48500		
03:15	48057	48750	0	2148	1800	45137	1102	838	2000	-4970	3511	47800		
03:30	47106	48200	0	2104	1783	44215	1127	838	1997	-4960	3461	47100		
03:45	47107	47850	0	2019	1768	44333	1148	617	1998	-4778	3375	47000		
04:00	46891	47500	0	1908	1747	44272	1145	557	2001	-4741	3262	46900		
04:15	46682	47300	0	1837	1737	44048	1124	381	2004	-4451	3191	46750		
04:30	46635	47100	0	2039	1795	44466	1099	9	1994	-4769	3401	46600		
04:45	46977	47450	0	1953	1756	44668	1095	0	1985	-4483	3315	46900		
05:00	47241	47800	0	1880	1861	44381	1118	0	1950	-3949	3284	47200		
05:15	48126	48550	0	1937	2030	44609	1157	24	1994	-3627	3388	48050		
05:30	48927	49300	0	2013	2210	44993	1147	0	1993	-3429	3535	48900		
05:45	49932	50350	0	2129	2527	45146	1126	432	1993	-3423	3751	49950		
06:00	50977	51400	0	2165	2798	44970	1099	501	1954	-2511	3867	51000		
06:15	53115	53250	0	2461	3197	44913	1094	965	2010	-1527	4318	53000		
06:30	54964	55100	0	2730	3338	45472	1093	2280	2010	-1960	4626	55000		
06:45	56657	57250	0	2947	3216	44927	1102	3808	2004	-1350	4789	56850		
07:00	58923	59400	0	3374	3255	45560	1084	4217	2008	-576	5214	58700		
07:15	61181	61550	0	3485	3417	45481	1077	6267	2013	-558	5381	60850		
07:30	63030	63700	0	3853	3573	45825	1075	7041	2005	-343	5787	63000		
07:45	63971	64450	0	3892	3675	45871	1074	7614	2003	-159	5861	63900		
08:00	64582	65200	0	4073	3710	46125	1099	7939	2004	-371	6048	64800		
08:15	64557	65100	0	4099	3722	46260	1066	8163	2045	-801	6094	64450		
08:30	64102	65000	0	4043	3688	46239	1037	7565	2056	-529	6032	64100		
08:45	64357	65100	0	4013	3692	46232	1029	7679	2042	-331	5998	64150		
09:00	64180	65200	0	3988	3676	46217	1015	7654	2040	-410	5968	64200		
09:15	64449	65300	0	3998	3688	46232	1019	7319	2185	5	6040	64400		
09:30	64558	65400	0	3934	3699	46204	1023	7615	2178	-96	5979	64600		
09:45	64690	65350	0	3955	3664	46215	1013	7755	2183	-97	5989	64350		
10:00	64141	65300	0	3777	3623	46208	979	7623	2186	-257	5805	64100		
10:15	64278	65300	0	3736	3614	46202	943	7314	2403	63	5849	64000		
10:30	63862	65300	0	3635	3581	46194	926	7137	2407	-20	5741	63900		
10:45	63930	65150	0	3634	3568	46192	924	7064	2415	131	5739	63800		
11:00	63814	65000	0	3657	3569	46176	918	6880	2419	192	5764	63700		
11:15	63659	64900	0	3547	3530	46079	939	6772	2587	202	5711	63550		
11:30	63436	64800	0	3562	3508	46029	961	6394	2600	377	5723	63400		
11:45	63432	64800	0	3824	3537	45905	960	6224	2594	386	5982	63500		
12:00	63583	64800	0	3829	3509	45936	998	6130	2576	603	5970	63600		
12:15	62752	64200	0	3529	3330	45850	1014	5264	2670	1092	5655	63000		
12:30	62496	63600	0	3390	3258	45723	976	5189	2682	1276	5500	62400		
12:45	63304	64100	0	3848	3465	45873	956	5269	2691	1199	6018	63000		
13:00	62299	64600	0	3620	3368	45851	973	4883	2694	906	5766	63600		
13:15	61989	63600	0	4093	3585	45955	958	4717	2678	1	6291	62450		
13:30	61319	62600	0	3762	3446	45817	967	4670	2684	-28	5926	61300		
13:45	61275	62350	0	3794	3467	45837	1011	4539	2656	-32	5953	61100		
14:00	60947	62100	0	3500	3403	45699	1007	4429	2652	254	5646	60900		
14:15	60998	62150	0	4085	3628	46026	994	4051	2566	-353	6254	60850		
14:30	60597	62200	0	3998	3570	45971	993	3669	2570	-175	6151	60800		
14:45	59687	61350	0	3760	3504	45764	992	3443	2562	-341	5896	60000		
15:00	59340	60500	0	3545	3419	45542	984	3561	2555	-268	5656	59200		
15:15	58447	60050	0	3484	3448	45461	1007	3631	2388	-973	5541	58750		
15:30	58285	59600	0	3487	3512	45315	1025	3610	2383	-1051	5566	58300		
15:45	57860	59300	0	3676	3527	45342	1024	2785	2404	-899	5760	58050		
16:00	57578	59000	0	3547	3506	45264	1024	2675	2380	-819	5620	57800		
16:15	57151	58650	0	3697	3584	45455	1032	2644	2213	-1477	5725	57450		
16:30	56883	58300	0	3687	3597	45463	1022	2689	2216	-1792	5721	57100		
16:45	56726	57900	0	3510	3549	45278	1023	2745	2220	-1601	5536	56750		
17:00	56626	57500	0	3567	3548	45309	989	2819	2212	-1821	5587	56400		
