Journée du 05/09/2012
Données temps réel
Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Autres	Ech. physiques	Taux de Co2	Ech. comm. Allemagne	Ech. comm. Angleterre	Ech. comm. Belgique	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse
00:00	46892	47800	47000	0	2436	117	41035	1593	ND	4214	ND	1628	-4131	59	ND	ND	ND	ND	ND	ND	
00:15	45908	46550	45850	0	2643	130	41564	1594	ND	4046	ND	1618	-5687	62							
00:30	44506	45300	44700	0	2393	129	41205	1593	ND	3298	ND	1625	-5737	59							
00:45	42828	44050	43350	0	2361	113	40971	1569	ND	1364	ND	1619	-5169	61							
01:00	41966	42800	42000	0	2374	132	40881	1522	ND	1474	ND	1620	-6037	62	ND	ND	ND	ND	ND	ND	
01:15	42049	42850	41900	0	2414	133	41360	1481	ND	928	ND	1631	-5898	62							
01:30	41447	42900	41800	0	2167	133	41108	1439	ND	872	ND	1621	-5893	58							
01:45	41493	42700	41700	0	1969	134	41124	1401	ND	881	ND	1620	-5636	54							
02:00	41110	42500	41600	0	1995	128	41033	1393	ND	1261	ND	1623	-6323	55	ND	ND	ND	ND	ND	ND	
02:15	41146	41800	40900	0	2374	136	41953	1388	ND	1795	ND	1624	-8124	60							
02:30	40272	41100	40200	0	2172	135	41325	1407	ND	1632	ND	1622	-8021	57							
02:45	39593	40350	39600	0	1978	135	41238	1340	ND	1267	ND	1622	-7987	54							
03:00	38873	39600	39000	0	1856	135	41012	1361	ND	1272	ND	1626	-8389	52	ND	ND	ND	ND	ND	ND	
03:15	38510	39000	38400	0	1955	134	41414	1321	ND	1236	ND	1630	-9180	54							
03:30	37849	38400	37800	0	1924	131	40669	1304	ND	1151	ND	1623	-8953	54							
03:45	37697	38000	37550	0	1975	133	41080	1299	ND	618	ND	1622	-9030	55							
04:00	37525	37600	37300	0	1901	134	41089	1269	ND	637	ND	1627	-9132	54	ND	ND	ND	ND	ND	ND	
04:15	37398	37450	37250	0	1950	135	41215	1246	ND	405	ND	1631	-9184	55							
04:30	37256	37300	37200	0	2088	164	40642	1230	ND	417	ND	1627	-8912	58							
04:45	37571	37600	37600	0	2131	142	41022	1220	ND	507	ND	1624	-9075	58							
05:00	37982	37900	38000	0	2036	125	41164	1231	ND	523	ND	1628	-8725	56	ND	ND	ND	ND	ND	ND	
05:15	38816	38550	38550	0	2100	143	41289	1219	ND	597	ND	1623	-8155	57							
05:30	39117	39200	39100	0	2246	160	41664	1218	ND	649	ND	1611	-8431	60							
05:45	39948	40100	40050	0	2132	190	41523	1208	ND	1801	ND	1609	-8515	56							
06:00	40748	41000	41000	0	2172	201	41438	1210	ND	1818	ND	1602	-7693	57	ND	ND	ND	ND	ND	ND	
06:15	42318	42300	42250	0	2284	217	41325	1212	ND	2296	ND	1612	-6628	59							
06:30	43550	43600	43500	0	2645	235	41770	1203	ND	2810	ND	1601	-6714	64							
06:45	44934	44650	44650	0	2827	245	41903	1170	ND	3756	ND	1612	-6579	66							
07:00	45801	45700	45800	0	2887	196	41515	1177	ND	4764	ND	1610	-6348	66	ND	ND	ND	ND	ND	ND	
07:15	46504	46250	46600	0	2835	287	41656	1184	ND	5059	ND	1632	-6149	66							
07:30	47379	46800	47400	0	3091	317	41889	1196	ND	5222	ND	1641	-5977	70							
07:45	47898	47700	48150	0	3051	331	42040	1271	ND	5713	ND	1644	-6152	68							
08:00	48790	48600	48900	0	3217	317	42117	1230	ND	6354	ND	1639	-6084	70	ND	ND	ND	ND	ND	ND	
08:15	50131	49450	49800	0	3324	320	42180	1146	ND	6706	ND	1854	-5399	72							
08:30	50731	50300	50700	0	3261	389	42139	1086	ND	7501	ND	1851	-5496	71							
08:45	51188	51000	51150	0	3309	558	42160	1060	ND	7776	ND	1842	-5517	72							
