Journée du 09/12/2012
Données consolidées
Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Autres	Ech. physiques	Taux de Co2	Ech. comm. Allemagne	Ech. comm. Angleterre	Ech. comm. Belgique	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse
00:00	73394	71700	72700	525	4314	3562	56596	1026	0	7570	-412	708	-495	85	3000	-397	-2516	-573	-864	-1871	
00:15		70800	71600																		
00:30	71708	69900	70500	525	4182	3547	56497	1056	0	8561	-10	699	-3348	82							
00:45		69050	69700																		
01:00	68714	68200	68900	528	3744	3563	55877	1118	0	6474	-171	692	-3112	80	3000	-347	-1953	-699	-864	-1815	
01:15		68050	68700																		
01:30	68418	67900	68500	529	3718	3545	56010	1200	0	5929	-594	701	-2621	80							
01:45		67450	67900																		
02:00	67821	67000	67300	531	3614	3388	56128	1253	0	5767	-859	707	-2708	79	3000	-624	-986	-440	-864	-1908	
02:15		66400	66800																		
02:30	67170	65800	66300	533	3056	3350	55813	1301	0	5396	-1085	697	-1890	73							
02:45		65050	65200																		
03:00	65004	64300	64100	533	2573	3397	55277	1427	0	5154	-1704	698	-2349	68	3000	-613	-1777	-690	-864	-1865	
03:15		63600	63300																		
03:30	63464	62900	62500	532	2383	3320	55698	1472	0	5115	-2844	703	-2917	66							
03:45		62200	62000																		
04:00	62225	61500	61500	533	2165	3329	54681	1597	0	5069	-2997	705	-2857	64	2500	-777	-1817	-984	-864	-1747	
04:15		61150	61150																		
04:30	61478	60800	60800	532	2072	3330	54910	1651	0	5171	-3157	705	-3735	62							
04:45		60550	60600																		
05:00	61040	60300	60400	532	1933	3315	54550	1774	0	5139	-3168	699	-3734	60	2500	-674	-2017	-935	-864	-1760	
05:15		60600	60700																		
05:30	61380	60900	61000	533	1991	3320	54735	1883	0	5158	-3129	697	-3809	61							
05:45		61000	61050																		
06:00	61595	61100	61100	536	2151	3331	54785	1958	0	5165	-3121	701	-3911	63	2500	-635	-2495	-916	-864	-1613	
06:15		61500	61550																		
06:30	62242	61900	62000	537	2287	3358	55564	2073	0	5069	-3117	681	-4210	64							
06:45		62200	62100																		
07:00	62561	62500	62200	538	2576	3334	55040	2215	0	5284	-3020	691	-4096	68	2500	-600	-2500	-956	-864	-1444	
07:15		62950	62650																		
07:30	63507	63400	63100	537	3034	3377	55080	2371	0	5386	-3009	691	-3959	74							
07:45		63850	63500																		
08:00	64293	64300	63900	535	3198	3335	55481	2507	0	5432	-3003	687	-3879	75	1789	-443	-2511	345	-864	-1680	
08:15		64600	64200																		
